# ARTIFACTS.txt — shipped-wasm freshness ledger (VERIFY lane)
# Per AGENTS.md practice #3: sha256 (first 16 hex) + ABI commit provenance.
# ABI commit at time of ledger build: 3912a37 (ABI v1.3 RATIFIED).
# Refreshed @SVC e73496a.

| artifact (SVC lane) | sha256-16 | notes |
|---|---|---|
| services/console/console.wasm | aa2808a09aae1e9f | relay; transport-agnostic |
| services/display/display.wasm | 543c00c5edf10021 | §9.FB consumer per v1.2 |
| services/fs/fs.wasm           | 6c2abd5bd36f7ec4 | multiuser rooting @a32873b + REGISTER gate @d035268 rebuild |
| services/init/init.wasm       | cd05191e395377d4 | SETCONF op6 caller (needs kernsvc case 6 in committed MAIN) |
| services/login/login.wasm     | fc748071920d734d | canonical §7 LOGIN/SPAWN caller |
| services/net/net.wasm         | 4b1c2f49ec40b3e0 | §6 rings + 'net' server; issuer/flood caps @d035268 |
| services/shell/shell.wasm     | 57a7c43eddef9188 | fs client + registry SPAWN caller |

All seven carry abi_ver=1 and were rebuilt inside the post-v1.3 window → FRESH.
